transaction_id,account_id,transaction_date,amount,transaction_type,branch_id
1,1,2024-01-17 09:10:00,100000.00,Deposit,1
2,2,2024-01-17 10:10:00,1000000.00,Deposit,1
3,3,2024-01-18 08:30:00,10000000.00,Transfer,1
4,3,2024-01-18 10:45:00,1000000.00,Withdrawal,1
5,5,2024-01-18 11:10:00,200000.00,Deposit,1
6,6,2024-01-18 13:10:00,50000.00,Withdrawal,1
7,6,2024-01-19 14:00:00,100000.00,Payment,1
8,7,2024-01-19 09:10:00,5000000.00,Deposit,1
9,8,2024-01-19 10:40:00,300000.00,Withdrawal,2
10,9,2024-01-20 12:10:00,2000000.00,Deposit,1
