transaction_id,account_id,transaction_date,amount,transaction_type,branch_id
1,1,2022-01-01 09:10:00,100000,Deposit,1
2,2,2022-01-01 10:10:00,1000000,Deposit,1
3,3,2022-01-11 08:30:00,10000000,Transfer,1
4,3,2022-01-11 10:45:00,1000000,Withdrawal,1
5,5,2022-02-21 11:10:00,200000,Deposit,1
6,6,2022-02-21 13:10:00,50000,Withdrawal,1
7,6,2022-02-21 14:00:00,100000,Payment,1
8,7,2022-03-05 09:10:00,5000000,Deposit,1
9,8,2022-03-15 10:40:00,300000,Withdrawal,2
10,9,2022-03-24 12:10:00,2000000,Deposit,1
